"","V1","V2","V3","V4","V5","V6","V6_clean1","V6_clean2","V6_clean3"
"1",0,1467810369,"Mon Apr 06 22:19:45 PDT 2009","NO_QUERY","_TheSpecialOne_","@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D","switchfoot http//twitpiccom/2y1zl  Awww that's a bummer  You shoulda got David Carr of Third Day to do it D","switchfoot http  twitpiccom 2y1zl  Awww that s a bummer  You shoulda got David Carr of Third Day to do it D"," switchfoot http twitpiccom 2y1zl Awww s bummer shoulda got David Carr Day do D"
"2",0,1467810672,"Mon Apr 06 22:19:49 PDT 2009","NO_QUERY","scotthamilton","is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!","is upset that he can't update his Facebook by texting it and might cry as a result  School today also Blah","is upset that he can t update his Facebook by texting it and might cry as a result  School today also Blah"," is upset update Facebook texting cry result School"
"3",0,1467810917,"Mon Apr 06 22:19:53 PDT 2009","NO_QUERY","mattycus","@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds","Kenichan I dived many times for the ball Managed to save 50  The rest go out of bounds","Kenichan I dived many times for the ball Managed to save 50  The rest go out of bounds"," Kenichan dived times ball Managed save rest go bounds"
"4",0,1467811184,"Mon Apr 06 22:19:57 PDT 2009","NO_QUERY","ElleCTF","my whole body feels itchy and like its on fire ","my whole body feels itchy and like its on fire ","my whole body feels itchy and like its on fire "," whole body feels itchy like fire"
"5",0,1467811193,"Mon Apr 06 22:19:57 PDT 2009","NO_QUERY","Karoli","@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ","nationwideclass no it's not behaving at all i'm mad why am i here because I can't see you all over there ","nationwideclass no it s not behaving at all i m mad why am i here because I can t see you all over there "," nationwideclass no s behaving m mad am see"
"6",0,1467811372,"Mon Apr 06 22:20:00 PDT 2009","NO_QUERY","joy_wolf","@Kwesidei not the whole crew ","Kwesidei not the whole crew ","Kwesidei not the whole crew "," Kwesidei whole crew"
"7",0,1467811592,"Mon Apr 06 22:20:03 PDT 2009","NO_QUERY","mybirch","Need a hug ","Need a hug ","Need a hug "," Need hug"
"8",0,1467811594,"Mon Apr 06 22:20:03 PDT 2009","NO_QUERY","coZZ","@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?","LOLTrish hey  long time no see Yes Rains a bit only a bit  LOL  I'm fine thanks  how's you ","LOLTrish hey  long time no see Yes Rains a bit only a bit  LOL  I m fine thanks  how s you "," LOLTrish long time no see Rains bit only bit LOL m fine thanks s"
"9",0,1467811795,"Mon Apr 06 22:20:05 PDT 2009","NO_QUERY","2Hood4Hollywood","@Tatiana_K nope they didn't have it ","TatianaK nope they didn't have it ","TatianaK nope they didn t have it "," TatianaK didn have"
"10",0,1467812025,"Mon Apr 06 22:20:09 PDT 2009","NO_QUERY","mimismo","@twittera que me muera ? ","twittera que me muera  ","twittera que me muera  "," twittera que muera"
