"","X","V1","V2","V3","V4","V5","V6","V6_clean1","V6_clean2","V6_clean3"
"1138",1138,0,1468093249,"Mon Apr 06 23:40:34 PDT 2009","NO_QUERY","mandylovee","@kimmyawesome Ohhhh that sucks  I love the summer set.","kimmyawesome Ohhhh that sucks  I love the summer set","kimmyawesome Ohhhh that sucks  I love the summer set"," kimmyawesome Ohhhh sucks love summer set"
"6223",6223,4,1468038683,"Mon Apr 06 23:23:29 PDT 2009","NO_QUERY","christine426","@danthedaddy I love that you &quot;tweeted&quot; Love You, Forever. ","danthedaddy I love that you quottweetedquot Love You Forever ","danthedaddy I love that you quottweetedquot Love You Forever "," danthedaddy love quottweetedquot Love"
"6092",6092,4,1468021627,"Mon Apr 06 23:18:06 PDT 2009","NO_QUERY","omg_pichu","fight fight fight ","fight fight fight ","fight fight fight "," fight fight fight"
"6232",6232,4,1468038989,"Mon Apr 06 23:23:35 PDT 2009","NO_QUERY","AshleyOpPp","that damn house wants 3,000 more than we offered...ugh...may not be too out of reach though ","that damn house wants 3000 more than we offeredughmay not be too out of reach though ","that damn house wants 3000 more than we offeredughmay not be too out of reach though "," damn house wants offeredughmay be reach"
"8606",8606,4,1468406008,"Tue Apr 07 01:28:20 PDT 2009","NO_QUERY","Emmizzz","Funny Courtroom Quotations  http://rinkworks.com/said/courtroom.shtml","Funny Courtroom Quotations  http//rinkworkscom/said/courtroomshtml","Funny Courtroom Quotations  http  rinkworkscom said courtroomshtml"," Funny Courtroom Quotations http rinkworkscom said courtroomshtml"
"6400",6400,4,1468070164,"Mon Apr 06 23:33:09 PDT 2009","NO_QUERY","robertgravina","Perl's CPAN installer has lots of quirky humour which is fun but I just want to get the job done. I prefer quiet tools; funny docs are OK ","Perl's CPAN installer has lots of quirky humour which is fun but I just want to get the job done I prefer quiet tools funny docs are OK ","Perl s CPAN installer has lots of quirky humour which is fun but I just want to get the job done I prefer quiet tools funny docs are OK "," Perl s CPAN installer has quirky humour is fun just want get job done prefer quiet tools funny docs are OK"
"95",95,0,1467836111,"Mon Apr 06 22:26:22 PDT 2009","NO_QUERY","perrohunter","@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike","makeherfamous hmm   do u really enjoy being with him  if the problems are too constants u should think things more  find someone ulike","makeherfamous hmm   do u really enjoy being with him  if the problems are too constants u should think things more  find someone ulike"," makeherfamous do enjoy being problems are constants think things find ulike"
"2324",2324,0,1468352313,"Tue Apr 07 01:08:48 PDT 2009","NO_QUERY","christy_leigh","is poorly sick ","is poorly sick ","is poorly sick "," is poorly sick"
"6656",6656,4,1468115783,"Mon Apr 06 23:48:01 PDT 2009","NO_QUERY","neenz","@MommyBrain Safe travels and congrats on the new move ","MommyBrain Safe travels and congrats on the new move ","MommyBrain Safe travels and congrats on the new move "," MommyBrain Safe travels congrats new move"
"5138",5138,4,1467842664,"Mon Apr 06 22:28:08 PDT 2009","NO_QUERY","manuscrypts","@nikhilnarayanan saw the tvc yesterday.. worked for me ","nikhilnarayanan saw the tvc yesterday worked for me ","nikhilnarayanan saw the tvc yesterday worked for me "," nikhilnarayanan saw tvc worked"
"6929",6929,4,1468148372,"Mon Apr 06 23:58:58 PDT 2009","NO_QUERY","puerhan","@Anjuli_nz haha there is a bit of that! makes getting up early easier too. ","Anjulinz haha there is a bit of that makes getting up early easier too ","Anjulinz haha there is a bit of that makes getting up early easier too "," Anjulinz haha is bit makes getting early"
"5444",5444,4,1467900135,"Mon Apr 06 22:43:24 PDT 2009","NO_QUERY","imaginaryemily","i wonder how long i can stay up until i pass out and wake up again at 6 ","i wonder how long i can stay up until i pass out and wake up again at 6 ","i wonder how long i can stay up until i pass out and wake up again at 6 "," wonder long stay pass wake"
"2824",2824,0,1468459410,"Tue Apr 07 01:48:00 PDT 2009","NO_QUERY","KelseyGene","fighting off the hungries ","fighting off the hungries ","fighting off the hungries "," fighting hungries"
"9223",9223,4,1468487645,"Tue Apr 07 01:58:43 PDT 2009","NO_QUERY","mel95","Yes get to hang out with Amy tomorrow ","Yes get to hang out with Amy tomorrow ","Yes get to hang out with Amy tomorrow "," get hang Amy"
"2920",2920,0,1468480071,"Tue Apr 07 01:55:47 PDT 2009","NO_QUERY","Ticky_promsut","My camera spoil ","My camera spoil ","My camera spoil "," camera spoil"
"8361",8361,4,1468366458,"Tue Apr 07 01:13:58 PDT 2009","NO_QUERY","wizbone","back from 3-day island tour  more pics @ my multiply site","back from 3day island tour  more pics  my multiply site","back from 3day island tour  more pics  my multiply site"," back 3day island tour pics multiply site"
"2858",2858,0,1468467021,"Tue Apr 07 01:50:48 PDT 2009","NO_QUERY","FishyNZ","everyone hates me so much  ","everyone hates me so much  ","everyone hates me so much  "," hates"
"2664",2664,0,1468423953,"Tue Apr 07 01:34:57 PDT 2009","NO_QUERY","clarelancaster","Going to the dentist again  I mean, tooth spa right @valeriekhoo ;)","Going to the dentist again  I mean tooth spa right valeriekhoo ","Going to the dentist again  I mean tooth spa right valeriekhoo "," Going dentist mean tooth spa right valeriekhoo"
"1864",1864,0,1468250707,"Tue Apr 07 00:32:50 PDT 2009","NO_QUERY","saravananp","@disobedientgirl wonderful.. I ll be slogging at 9.. you get up at 9 eh.. ","disobedientgirl wonderful I ll be slogging at 9 you get up at 9 eh ","disobedientgirl wonderful I ll be slogging at 9 you get up at 9 eh "," disobedientgirl wonderful ll be slogging get"
"2318",2318,0,1468351264,"Tue Apr 07 01:08:23 PDT 2009","NO_QUERY","chrsfrwll","A day negotiating wth insurers after spilling beer on my laptop last night.  Probably to no avail. ","A day negotiating wth insurers after spilling beer on my laptop last night  Probably to no avail ","A day negotiating wth insurers after spilling beer on my laptop last night  Probably to no avail "," A day negotiating wth insurers spilling beer laptop last night no avail"
"3160",3160,0,1468530382,"Tue Apr 07 02:14:02 PDT 2009","NO_QUERY","ItsDylicious","is back in Byron Bay @cafe Fresh, missing all my Melbourne friends ","is back in Byron Bay cafe Fresh missing all my Melbourne friends ","is back in Byron Bay cafe Fresh missing all my Melbourne friends "," is back Byron Bay cafe Fresh missing Melbourne friends"
"3021",3021,0,1468499537,"Tue Apr 07 02:02:46 PDT 2009","NO_QUERY","xoxChelleMcCxox","@Donniesbabe well its pishing here  sun looks like it wants to break through hope it dows kids doing my head in !!!!!!","Donniesbabe well its pishing here  sun looks like it wants to break through hope it dows kids doing my head in ","Donniesbabe well its pishing here  sun looks like it wants to break through hope it dows kids doing my head in "," Donniesbabe well pishing sun looks like wants break hope dows kids doing head"
"1587",1587,0,1468191166,"Tue Apr 07 00:12:37 PDT 2009","NO_QUERY","rawritsryan","@Kailuh Dis guy was talking about his brother's cock, and thats all I feel like talking about   EWWW  You can figure out the rest.","Kailuh Dis guy was talking about his brother's cock and thats all I feel like talking about   EWWW  You can figure out the rest","Kailuh Dis guy was talking about his brother s cock and thats all I feel like talking about   EWWW  You can figure out the rest"," Kailuh guy was talking brother s cock thats feel like talking EWWW figure rest"
"400",400,0,1467912994,"Mon Apr 06 22:46:55 PDT 2009","NO_QUERY","missolivee","anyone who reads this pray for my Grandma. She's in pain ","anyone who reads this pray for my Grandma She's in pain ","anyone who reads this pray for my Grandma She s in pain "," reads pray Grandma s pain"
"2183",2183,0,1468323001,"Tue Apr 07 00:58:25 PDT 2009","NO_QUERY","mrcelebrity","okay bbs &lt;3 does anyone know where i can get info on how night clubs in L.A. cost? i wanna rent one out next year please  I'll invite yall","okay bbs lt3 does anyone know where i can get info on how night clubs in LA cost i wanna rent one out next year please  I'll invite yall","okay bbs lt3 does anyone know where i can get info on how night clubs in LA cost i wanna rent one out next year please  I ll invite yall"," okay bbs lt3 does know get info night clubs LA cost wanna rent year ll invite yall"
"8086",8086,4,1468324679,"Tue Apr 07 00:59:02 PDT 2009","NO_QUERY","Ptrckstar872","Its as easy as breathing. ","Its as easy as breathing ","Its as easy as breathing "," easy breathing"
"5244",5244,4,1467862998,"Mon Apr 06 22:33:24 PDT 2009","NO_QUERY","The_PHP_Jedi","@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ;) I'm doing great, thanks. How about you? ","lhawthorn What a coincidence I was just stalking your Twitter feed and the GSoC news  I'm doing great thanks How about you ","lhawthorn What a coincidence I was just stalking your Twitter feed and the GSoC news  I m doing great thanks How about you "," lhawthorn coincidence was just stalking Twitter feed GSoC news m doing great thanks"
"9122",9122,4,1468474419,"Tue Apr 07 01:53:39 PDT 2009","NO_QUERY","ujjwal_kumar","@billgates currently I am using beta version which I downloaded from microsoft's website. Its an awesome O/S, also ur new pic looks good. ","billgates currently I am using beta version which I downloaded from microsoft's website Its an awesome O/S also ur new pic looks good ","billgates currently I am using beta version which I downloaded from microsoft s website Its an awesome O S also ur new pic looks good "," billgates am using beta version downloaded microsoft s website awesome S ur new pic looks good"
"8291",8291,4,1468353649,"Tue Apr 07 01:09:18 PDT 2009","NO_QUERY","anabass","It's a perfect day ... Need to find a nice bottle of champagne.  Going to let myself be enlightened by the caviste ","It's a perfect day  Need to find a nice bottle of champagne  Going to let myself be enlightened by the caviste ","It s a perfect day  Need to find a nice bottle of champagne  Going to let myself be enlightened by the caviste "," s perfect day Need find nice bottle champagne Going let be enlightened caviste"
"457",457,0,1467928676,"Mon Apr 06 22:51:25 PDT 2009","NO_QUERY","latoyanlegania","@NileLegania glad I was able help you feel better. I hate to see you sick  Love you!","NileLegania glad I was able help you feel better I hate to see you sick  Love you","NileLegania glad I was able help you feel better I hate to see you sick  Love you"," NileLegania glad was able help feel hate see sick Love"
"4548",4548,0,1468849072,"Tue Apr 07 04:03:06 PDT 2009","NO_QUERY","KellyKB","Kelly Good morning fellow tweets, there is allot of spamers on here.  but thats ok, I'll just get rid of them. http://ff.im/1Y9yn","Kelly Good morning fellow tweets there is allot of spamers on here  but thats ok I'll just get rid of them http//ffim/1Y9yn","Kelly Good morning fellow tweets there is allot of spamers on here  but thats ok I ll just get rid of them http  ffim 1Y9yn"," Kelly Good morning fellow tweets is allot spamers thats ok ll just get rid http ffim 1Y9yn"
